"","id.new","date.col","RM","features","Provenance","NEW.TLS","WT","vat.cum","year","Wr","hatch","Sr","Ba","Mn","P","Cu","Mg"
"91","BAC11",2021-12-01,NA,"Bright Angel Upper","Bright Angel",96,9,0,"2021",89.891713642999,2021,0.348985790132557,0.0585822367947764,0.00645546531408939,66829.3424750275,0.0149817739761129,0.0832322698248024
"92","BAC12",2021-12-02,NA,"Bright Angel Upper","Bright Angel",121,16,0,"2021",80.5518068566916,2021,0.543939334325653,0.110706465754325,0.0043148403126598,34421.7002812009,0.00131253797758865,0.0425545391797153
"93","BAC13",2021-12-06,NA,"Bright Angel Upper","Bright Angel",105,11,0,"2021",84.2698769775148,2021,0.475115574165918,0.0664507354071431,0.00341871199201596,57610.7101236445,0.00170087071543078,0.0322790686035255
"94","BAC14",2021-12-06,NA,"Bright Angel Upper","Bright Angel",74,5,0,"2021",107.905632297792,2021,0.504621734568196,0.0615921387459459,0.00467773537313373,44196.9854099301,0.00129118774816764,0.0401853270946325
"95","BOB19",2022-11-19,NA,"Bright Angel Upper",NA,296,226,39,"2022",80.5536037619704,2021,0.430899782780702,0.0628296745087314,0.00698844600600431,37236.9901075412,0.00286835752420074,0.0496255814422349
"96","BWE01",2022-12-22,NA,"Bright Angel Lower",NA,342,358,36.5,"2022",83.2081282431533,2019,0.483558234107695,0.102943237476487,0.00742156414347022,80755.9946336587,0.00261557812598999,0.0606712944188922
"97","BWE02",2022-12-22,NA,"Bright Angel Lower",NA,371,505,47.5,"2022",86.6002840703845,2018,0.444452492985457,0.0763276439682119,0.00745476237755327,33075.6656110823,0.00209388880733554,0.0439230058806824
"98","BWE03",2022-12-22,NA,"Bright Angel Lower",NA,347,380,0,"2022",84.6074003749637,2019,3.89562890200932,0.02385972793824,0.00344308779118954,73902.292648021,0.000780618243579417,0.0383993829853416
"99","BWE04",2022-12-22,NA,"Bright Angel Lower",NA,345,313,0,"2022",70.8924223420883,2018,0.488374631196495,0.0650807471353806,0.00761757015357554,86355.9824969377,0.00108141655154118,0.0399861621565999
"100","BWE05",2022-12-22,NA,"Bright Angel Lower",NA,325,325,0,"2022",87.8432939267135,2019,0.357462660510812,0.0606853287300519,0.00645808639476435,69189.0542967687,0.00110426558907796,0.0494240347581641
"101","BWE06",2022-12-25,NA,"Bright Angel Lower",NA,383,536,0,"2022",89.1038395985886,2017,3.74289010027589,0.0205614805803347,0.00469230357261325,84293.9632558736,0.000901447886263689,0.0577670428048509
"102","BWE07",2022-12-25,NA,"Bright Angel Lower",NA,346,377,0,"2022",84.6595776978807,2018,3.11661629304532,0.0190371533411887,0.00271828873182585,36943.6030055064,0.000497925135190515,0.0386217150432173
"103","BWE08",2022-12-25,NA,"Bright Angel Lower",NA,300,226,43.5,"2022",77.4157855813101,2019,0.406239873256758,0.0792589959725663,0.00711938431839702,68597.5110452332,0.00114677302589385,0.0577580612278238
"104","MSC10",2020-12-06,NA,"Bright Angel Lower",NA,539,NA,50,"2020",NA,2015,0.409474347413251,0.0864138168177253,0.00350864316541467,136011.050422677,0.00276657701504699,0.0649326854241322
"105","OTEL01",2021-11-06,NA,"Bright Angel Upper",NA,355,538,0,"2021",111.971204650568,2019,0.407971654238994,0.0474416860483622,0.00257975033602148,62135.0415497366,0.00634303822285379,0.0553126298683196
"106","OTEL02",2021-11-06,NA,"Bright Angel Upper",NA,338,473,0,"2021",113.832875850559,2018,0.373159100770438,0.0719860492358193,0.00480659407162798,78279.1694294814,0.00407780529255361,0.061282228419441
"107","OTEL03",2021-11-06,NA,"Bright Angel Upper",NA,400,836,0,"2021",122.210551264312,2019,0.345361043726138,0.0351826021143046,0.00318343040971554,119352.401941635,0.000578812752853052,0.0287951385841928
"108","OTEL04",2021-11-07,NA,"Bright Angel Upper",NA,301,268,0,"2021",90.9029478676107,2018,0.389309664782608,0.0452400324423023,0.00312801357841453,61753.8496216933,0.00455926303298606,0.0545831957696502
"109","OTEL06",2021-11-07,NA,"Bright Angel Upper",NA,331,370,0,"2021",94.7350879167686,2019,0.367700094011034,0.0658887375382858,0.0038547008969001,80363.7178780536,0.00251384455950354,0.0493546303915366
"110","OTEL07",2021-11-07,NA,"Bright Angel Upper",NA,310,270,48.5,"2021",83.9330781015146,2019,0.454272419687389,0.069908298993966,0.00396336786022555,53217.7971508871,0.00237188518386208,0.0985148301639905
"111","OTEL08",2021-11-12,NA,"Bright Angel Upper",NA,299,262,7.5,"2021",90.6388890681333,2019,0.400131047122145,0.106606463128375,0.00504194357124951,57004.0473097369,0.0153780572148386,0.0768460706694836
"112","OTEL10",2021-11-12,NA,"Bright Angel Upper",NA,305,NA,58.5,"2021",NA,2019,0.447384301014081,0.0497969241314903,0.00458424897011625,21121.8357107905,0.0010904373384096,0.032853414516272
"113","OTEL11",2021-11-13,NA,"Bright Angel Upper",NA,314,300,9.5,"2021",89.786180363031,2019,0.389539816478064,0.0596033064786948,0.00386349340486457,89510.0382013442,0.00190336080192476,0.0358930473078448
"114","OTEL12",2021-11-14,NA,"Bright Angel Upper",NA,315,290,44.5,"2021",85.9802609134659,2019,0.255893370175588,0.0221781364381919,0.00667036431521051,96463.8049089917,0.00436785019096495,0.661199822099424
"115","OTEL14",2021-11-15,NA,"Bright Angel Upper",NA,294,282,14,"2021",102.551262263655,2019,0.356124838271504,0.0381354629448334,0.0057307531245512,41328.6752536132,0.00738703971493334,0.0781768543698868
"116","OTEL15",2021-11-15,NA,"Bright Angel Above Barrier","Bright Angel",283,197,0,"2021",80.2007402840348,2019,0.466313719460827,0.0640520717772491,0.00441378726557601,66831.0625797074,0.00153035511343056,0.0362847783039726
